date,organism_name,name,extraction.endPipetteR,extraction.postPatch,rigOperator,status,roi_major,roi_minor,container,p_container
2020-01-24 13:27:36 -0800,Mouse,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-507197.04.01.02,1000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 1,PFS4_200124_703_A01,PFS4
2020-01-24 13:32:12 -0800,Mouse,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-507197.03.01.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 1,P8S4_200124_356_A01,P8S4
2020-01-24 13:32:12 -0800,Mouse,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-507197.03.01.01,1000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 1,P8S4_200124_354_A01,P8S4
2020-01-24 13:32:12 -0800,Mouse,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-507197.03.01.02,1500.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 1,P8S4_200124_355_A01,P8S4
2020-01-24 13:39:31 -0800,Mouse,Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-507197.05.01.03,1000.0,nucleus_present,kristenh,SUCCESS,RSPd,layer 1,P1S4_200124_003_A01,P1S4
2020-01-24 14:33:11 -0800,Mouse,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-507439.10.01.02,200.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200124_704_A01,PFS4
2020-01-27 09:42:17 -0800,Human,H20.26.401.12.62.01.05,180.0,nucleus_absent,ramr,SUCCESS,TCx,layer 5,PCS4_200127_455_A01,PCS4
2020-01-27 09:42:17 -0800,Human,H20.26.401.12.62.01.04,4.0,nucleus_present,ramr,SUCCESS,TCx,layer 5,PCS4_200127_454_A01,PCS4
2020-01-27 09:42:17 -0800,Human,H20.26.401.12.62.01.01,3.6,nucleus_absent,ramr,SUCCESS,TCx,layer 3b,PCS4_200127_451_A01,PCS4
2020-01-27 09:42:17 -0800,Human,H20.26.401.12.62.01.03,3.5,nucleus_absent,ramr,SUCCESS,TCx,layer 5,PCS4_200127_453_A01,PCS4
2020-01-27 09:42:17 -0800,Human,H20.26.401.12.62.01.02,700.0,nucleus_absent,ramr,SUCCESS,TCx,layer 3c,PCS4_200127_452_A01,PCS4
2020-01-27 10:10:51 -0800,Mouse,Gad2-IRES-Cre;Ai14-507867.08.06.03,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200127_353_A01,P8S4
2020-01-27 10:10:51 -0800,Mouse,Gad2-IRES-Cre;Ai14-507867.08.06.04,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200127_354_A01,P8S4
2020-01-27 10:10:51 -0800,Mouse,Gad2-IRES-Cre;Ai14-507867.08.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200127_351_A01,P8S4
2020-01-27 10:10:51 -0800,Mouse,Gad2-IRES-Cre;Ai14-507867.08.06.02,100.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200127_352_A01,P8S4
2020-01-27 10:26:03 -0800,Human,H20.26.401.12.61.01.03,4000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 4,PCS4_200127_653_A01,PCS4
2020-01-27 10:26:03 -0800,Human,H20.26.401.12.61.01.01,5000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200127_651_A01,PCS4
2020-01-27 10:26:03 -0800,Human,H20.26.401.12.61.01.04,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200127_654_A01,PCS4
2020-01-27 10:26:03 -0800,Human,H20.26.401.12.61.01.02,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 2,PCS4_200127_652_A01,PCS4
2020-01-27 10:26:03 -0800,Human,H20.26.401.12.61.01.05,200.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200127_655_A01,PCS4
2020-01-27 10:32:59 -0800,Mouse,Gad2-IRES-Cre;Ai14-507867.07.06.01,2500.0,nucleus_present,kristenh,SUCCESS,ORB,layer 2/3,P1S4_200127_001_A01,P1S4
2020-01-27 13:22:07 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.01.01.01,1000.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 2/3,P8S4_200127_355_A01,P8S4
2020-01-27 13:38:33 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.01.02.01,100.0,nucleus_present,jessicat,SUCCESS,VISp,layer 5,PFS4_200127_701_A01,PFS4
2020-01-27 13:59:45 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.02.02.02,600.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200127_357_A01,P8S4
2020-01-27 13:59:45 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.02.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 2/3,P8S4_200127_358_A01,P8S4
2020-01-27 13:59:45 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.02.02.01,1500.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200127_356_A01,P8S4
2020-01-27 14:03:14 -0800,Mouse,Th-P2A-FlpO-507995.11.01.01,300.0,nucleus_present,kristenh,SUCCESS,RSPd,layer 5,P1S4_200127_002_A01,P1S4
2020-01-27 15:00:02 -0800,Mouse,Th-P2A-FlpO-507995.12.02.01,5000.0,nucleus_present,katherineb,SUCCESS,MOs,layer 2/3,PES4_200127_656_A01,PES4
2020-01-27 15:18:00 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.02.01.01,2000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200127_702_A01,PFS4
2020-01-27 15:48:44 -0800,Mouse,Th-P2A-FlpO-507995.07.02.01,3000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 2/3,PES4_200127_657_A01,PES4
2020-01-27 16:00:21 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508158.03.01.01,4000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200127_703_A01,PFS4
2020-01-28 09:48:34 -0800,Human,H20.03.302.11.53.01.04,6.0,nucleus_absent,kristenh,SUCCESS,TCx,layer 3,PCS4_200128_003_A01,PCS4
2020-01-28 09:48:34 -0800,Human,H20.03.302.11.53.01.02,4.0,entire_cell,kristenh,SUCCESS,TCx,layer 3,PCS4_200128_001_A01,PCS4
2020-01-28 09:48:34 -0800,Human,H20.03.302.11.53.01.05,5.0,nucleus_absent,kristenh,SUCCESS,TCx,layer 3,PCS4_200128_004_A01,PCS4
2020-01-28 09:48:34 -0800,Human,H20.03.302.11.53.01.03,4.0,nucleus_absent,kristenh,SUCCESS,TCx,layer 3,PCS4_200128_002_A01,PCS4
2020-01-28 09:55:54 -0800,Mouse,Gad2-IRES-Cre;Ai14-507868.08.06.01,200.0,nucleus_present,jessicat,SUCCESS,CTXsp,CLA,PFS4_200128_701_A01,PFS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.01,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 2,PCS4_200128_651_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.07,1200.0,nucleus_absent,katherineb,SUCCESS,TCx,layer 6,PCS4_200128_657_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.02,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3a,PCS4_200128_652_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.05,4000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 5,PCS4_200128_655_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.11,4000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_661_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.08,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 5,PCS4_200128_658_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.04,2000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_654_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.09,4000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_659_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.10,4000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_660_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.06,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_656_A01,PCS4
2020-01-28 10:04:10 -0800,Human,H20.03.302.11.54.01.03,2000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 3,PCS4_200128_653_A01,PCS4
2020-01-28 10:04:53 -0800,Mouse,Gad2-IRES-Cre;Ai14-507868.10.06.01,2000.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200128_451_A01,PAS4
2020-01-28 10:04:53 -0800,Mouse,Gad2-IRES-Cre;Ai14-507868.10.06.02,3300.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200128_452_A01,PAS4
2020-01-28 12:54:03 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508159.04.01.02,100.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 2/3,P8S4_200128_352_A01,P8S4
2020-01-28 12:54:03 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508159.04.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 2/3,P8S4_200128_351_A01,P8S4
2020-01-28 13:30:58 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508159.06.01.02,4000.0,nucleus_present,ramr,SUCCESS,VISp,layer 2/3,PAS4_200128_454_A01,PAS4
2020-01-28 13:30:58 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508159.06.01.03,2200.0,nucleus_present,ramr,SUCCESS,VISp,layer 5,PAS4_200128_455_A01,PAS4
2020-01-28 13:30:58 -0800,Mouse,Vipr2-IRES2-Cre;Slc32a1-IRES2-FlpO;Ai65-508159.06.01.01,400.0,nucleus_present,ramr,SUCCESS,VISp,layer 2/3,PAS4_200128_453_A01,PAS4
2020-01-28 13:58:50 -0800,Mouse,Th-P2A-FlpO-508001.10.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200128_355_A01,P8S4
2020-01-28 13:58:50 -0800,Mouse,Th-P2A-FlpO-508001.10.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200128_353_A01,P8S4
2020-01-28 13:58:50 -0800,Mouse,Th-P2A-FlpO-508001.10.02.04,1000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200128_356_A01,P8S4
2020-01-28 13:58:50 -0800,Mouse,Th-P2A-FlpO-508001.10.02.02,20000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200128_354_A01,P8S4
2020-01-28 14:46:12 -0800,Mouse,Th-P2A-FlpO-508001.11.01.01,2000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200128_702_A01,PFS4
2020-01-28 15:43:47 -0800,Mouse,Th-P2A-FlpO-508001.12.02.02,1000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200128_358_A01,P8S4
2020-01-28 15:43:47 -0800,Mouse,Th-P2A-FlpO-508001.12.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200128_357_A01,P8S4
2020-01-30 09:53:56 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.06.06.01,1500.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200130_651_A01,PES4
2020-01-30 10:07:40 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.07.06.02,2000.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200130_452_A01,PAS4
2020-01-30 10:07:40 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.07.06.01,2400.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200130_451_A01,PAS4
2020-01-30 10:07:40 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.07.06.03,3600.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200130_453_A01,PAS4
2020-01-30 11:07:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.09.06.02,1000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200130_352_A01,P8S4
2020-01-30 11:07:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508744.09.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200130_351_A01,P8S4
2020-01-30 13:07:12 -0800,Mouse,Slc17a8-iCre;Ai14-508388.10.01.01,200.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200130_701_A01,PFS4
2020-01-30 13:24:54 -0800,Mouse,Slc17a8-iCre;Ai14-508388.11.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200130_353_A01,P8S4
2020-01-30 13:24:54 -0800,Mouse,Slc17a8-iCre;Ai14-508388.11.01.02,400.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200130_354_A01,P8S4
2020-01-30 13:36:52 -0800,Mouse,Slc17a8-iCre;Ai14-508388.07.01.02,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 2/3,PES4_200130_653_A01,PES4
2020-01-30 13:36:52 -0800,Mouse,Slc17a8-iCre;Ai14-508388.07.01.01,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 5,PES4_200130_652_A01,PES4
2020-01-30 13:49:31 -0800,Mouse,Slc17a8-iCre;Ai14-508388.08.01.01,3500.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200130_454_A01,PAS4
2020-01-30 14:43:48 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.04.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200130_355_A01,P8S4
2020-01-30 14:43:48 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.04.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200130_356_A01,P8S4
2020-01-30 15:37:44 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508088-Ai65.01.02.01,1400.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200130_455_A01,PAS4
2020-01-31 09:54:03 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.08.06.02,2000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 5,PFS4_200131_701_A01,PFS4
2020-01-31 09:54:03 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.08.06.03,3000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 6a,PFS4_200131_702_A01,PFS4
2020-01-31 10:12:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.07.06.01,2000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200131_651_A01,PES4
2020-01-31 10:12:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.07.06.02,2000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 5,PES4_200131_652_A01,PES4
2020-01-31 10:21:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.09.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200131_352_A01,P8S4
2020-01-31 10:21:49 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.09.06.01,50.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200131_351_A01,P8S4
2020-01-31 10:26:27 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.10.06.02,2800.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200131_451_A01,PAS4
2020-01-31 12:48:43 -0800,Mouse,Slc17a8-iCre;Ai14-508389.10.01.01,5000.0,nucleus_present,kristenh,SUCCESS,RSPv,layer 5,P1S4_200131_001_A01,P1S4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.05,3000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 6a,PFS4_200131_706_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.04,4000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 5,PFS4_200131_705_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.01,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200131_703_A01,PFS4
2020-01-31 13:19:38 -0800,Mouse,Slc17a8-iCre;Ai14-508389.08.01.03,1500.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200131_704_A01,PFS4
2020-01-31 13:28:41 -0800,Mouse,Sst-IRES-Cre;Ai14-508745.11.06.01,1600.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200131_452_A01,PAS4
2020-01-31 13:31:13 -0800,Mouse,Slc17a8-iCre;Ai14-508389.09.01.02,60.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200131_354_A01,P8S4
2020-01-31 13:31:13 -0800,Mouse,Slc17a8-iCre;Ai14-508389.09.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200131_353_A01,P8S4
2020-01-31 14:04:36 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.04.01.02,11.0,nucleus_present,kristenh,SUCCESS,RSPd,layer 2/3,P1S4_200131_002_A01,P1S4
2020-01-31 14:34:57 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.03.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200131_355_A01,P8S4
2020-01-31 15:06:21 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.04.02.01,3700.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200131_453_A01,PAS4
2020-01-31 15:31:37 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.02.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 2/3,P8S4_200131_356_A01,P8S4
2020-01-31 15:49:21 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.03.01.02,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200131_707_A01,PFS4
2020-01-31 16:15:03 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508089-Ai65.02.01.01,2000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 5,PES4_200131_653_A01,PES4
2020-02-03 09:32:56 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.09.06.02,2000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 5,PFS4_200203_701_A01,PFS4
2020-02-03 09:49:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.08.06.02,3300.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200203_451_A01,PAS4
2020-02-03 10:06:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.06.06.01,2000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200203_651_A01,PES4
2020-02-03 10:06:43 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.06.06.02,3000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200203_652_A01,PES4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_352_A01,P8S4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_351_A01,P8S4
2020-02-03 10:40:05 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.10.06.03,2000.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 5,P8S4_200203_353_A01,P8S4
2020-02-03 11:40:32 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.05.06.01,3000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200203_653_A01,PES4
2020-02-03 11:40:32 -0800,Mouse,Sst-IRES-Cre;Ai14-508746.05.06.02,3000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200203_654_A01,PES4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.03,2300.0,nucleus_present,ramr,SUCCESS,RSPv,layer 2/3,PAS4_200203_454_A01,PAS4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.02,2500.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200203_453_A01,PAS4
2020-02-03 12:28:33 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.07.09.01,1600.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200203_452_A01,PAS4
2020-02-03 13:23:30 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.09.09.02,3000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200203_703_A01,PFS4
2020-02-03 13:23:30 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.09.09.01,1200.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200203_702_A01,PFS4
2020-02-03 13:42:56 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.08.09.03,50.0,nucleus_present,lindsayn,SUCCESS,HY,Ventromedial hypothalamic nucleus,P8S4_200203_356_A01,P8S4
2020-02-03 13:42:56 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.08.09.02,2000.0,nucleus_present,lindsayn,SUCCESS,HY,Ventromedial hypothalamic nucleus,P8S4_200203_355_A01,P8S4
2020-02-03 13:42:56 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.08.09.01,2000.0,nucleus_present,lindsayn,SUCCESS,HY,Ventromedial hypothalamic nucleus,P8S4_200203_354_A01,P8S4
2020-02-03 14:33:26 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.05.09.02,2000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 2/3,PES4_200203_656_A01,PES4
2020-02-03 14:33:26 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-508094-Ai65.05.09.01,3000.0,nucleus_present,katherineb,SUCCESS,RSPd,layer 2/3,PES4_200203_655_A01,PES4
